lat,lng,group,what_3_words,elevation
-25.16260835475841,-42.93315765014074,0,organs.crucible.intervening,-2207.028564453125
-25.21485533086615,-42.88517999274199,1,politic.widen.fray,-2210.55126953125
-25.535205215463172,-42.852257612801395,2,wend.uselessness.tiller,-2133.28173828125
-25.478683807380904,-42.80995650974437,3,cognitive.workweeks.etymology,-2116.394287109375
-25.455697059631042,-42.747574505553516,4,undulate.pasta.pinafore,-2120
-25.598591631045615,-42.89476620078659,5,paddle.midmonth.darkhaired,-2138.4921875
-25.676847802620397,-43.20928855886816,6,tinnitus.plumber.elks,-2130.992431640625
-25.801779999032316,-43.261760223650754,7,steelmaker.accustomed.inheritable,-2173.918701171875
-24.799691673840165,-42.482531736889044,8,sonograms.waggling.squawked,-2037.754516601562
-24.650987800883012,-42.249353370039394,9,tutorial.intact.shabbily,-2005.936645507812
-24.63376053589227,-42.471109218114506,10,brunette.locater.soldered,-1977.09765625
-23.517963084669205,-41.07054806464214,11,doctors.rubbings.sublegal,-1150.039672851562
-23.321545027333812,-41.2612953215438,12,pinafore.jocular.devaluations,-90.2308349609375
-22.666690119623944,-40.24259500867843,13,bide.croon.unfreeze,-1020.968200683594
-22.86821554395828,-40.35363916742946,14,currently.tooted.transferability,-1427.51171875
-22.704902437306536,-40.685341873703976,15,anagram.parcels.semolina,-133.1244812011719
-22.872191848722235,-40.746389713890466,16,yardage.gory.affirmed,-255.8005676269531
-22.931690956426248,-40.68043566821825,17,sportswear.necromancy.varying,-1068.680419921875
-22.372849657436678,-41.7435805653961,18,moth.energetic.frequents,-3.410887956619263
-22.97227018619794,-42.011380529959354,19,divided.smoke.tower,0
-22.860494552736753,-43.15152212004927,20,sourcing.emancipated.album,-7.350587844848633
-22.98265586586879,-43.079362369887356,21,simply.hangs.spoils,0
-23.041268514580224,-43.134373775763095,22,spritzer.seasickness.reclaim,-23.57748794555664
-24.04268901259845,-43.281179329250975,23,afterschool.courting.hollowly,-204.6575775146484
-22.953996107835167,-43.787018690434465,24,charge.hairpiece.harsher,-2.547780990600586
-22.939277286910517,-43.841992270353884,25,lighted.valet.handshakes,-0.4485852718353271
-22.97049636756067,-43.951826500294565,26,widths.modes.prongs,-1.018904089927673
-23.001933920955928,-44.24756431537958,27,deserving.applied.slobber,0.01149138808250427
-22.9508443212896,-44.3943271584715,28,robes.dipping.unserved,1.030780673027039
-23.103075329814303,-44.28084146910664,29,gradation.twang.wizardry,-83.3313980102539
-23.150056672872765,-44.395285669823785,30,connected.stack.restarted,-24.66732788085938
-23.061803025063995,-44.228945878329675,31,oracle.crux.review,0
-23.153943206147485,-44.0461740646854,32,falter.sloping.flinched,-29.02592658996582
-23.015853133621935,-44.06831493877256,33,partnerships.hits.tepid,-5.42539644241333
-19.842070776295568,-40.05810228803841,34,amend.faraway.onion,-0.006190254352986813
-20.342827702462248,-40.19105373816474,35,compete.proclaiming.rifts,-33.5975341796875
-20.320452577192807,-40.322327034825065,36,jigging.wiping.letters,0
-21.24360893321175,-40.01213447139034,37,neediest.lychee.findings,-1322.664184570312
-20.77523226104296,-40.54024214375393,38,gamblers.necklaces.quotas,-17.56451416015625
-22.4162114981802,-40.6542131232502,39,condemning.velodrome.proudly,-84.11609649658203
